Blade	Speed	Control	Stiffness 	Hardness 	Consistency 	Overall	Ratings	Price
(No Brand) 2 Faced Grinder	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
(No Brand) Agilite Balsa Texalium Blade	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	52
(No Brand) ALPEN WOOD BLADE (Dingo + Swiss)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	94
(No Brand) ARTTE Nuvola	6.5	9.5	5.0	5.2	10.0	9.8	1	120
(No Brand) Balistic Glasfibre	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
(No Brand) Borneo Beast Diamond Carbon Signanture Series	10.0	10.0	10.0	10.0	10.0	10.0	1	1000
(No Brand) Brodmann Blades	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	69
(No Brand) D.Tector	5.0	9.0	3.0	5.2	10.0	(not rated)	1	45
(No Brand) Denis Kalachevskyy	9.0	6.0	5.0	6.7	10.0	9.0	1	65
(No Brand) Dimanka Hurricane 5	10.0	8.8	7.0	8.2	10.0	9.9	1	80
(No Brand) Gauder Concept For Allround	7.0	9.0	5.0	6.7	(not rated)	9.0	1	33
(No Brand) Gold Cup	9.0	9.0	5.0	6.7	10.0	9.0	1	5
(No Brand) GuoYueHua Low Carbon Life	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	13
(No Brand) Hermoso	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
(No Brand) Jaguar	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	20
(No Brand) Kosaka Carbon	7.0	8.0	5.0	5.2	0.0	7.4	2	13
(No Brand) KWS	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	54
(No Brand) L-2	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
(No Brand) Leoviz Liberty	8.3	9.0	5.0	6.7	7.5	8.8	2	32
(No Brand) Levi OFF-	8.0	9.2	0.0	2.2	(not rated)	8.8	1	40
(No Brand) Maestro-Lithuania	9.0	9.0	7.0	8.2	(not rated)	9.5	1	25
(No Brand) Matsushita Pro Model	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
(No Brand) N8 TT Dragon L1	8.0	9.0	7.0	8.2	10.0	8.0	1	50
(No Brand) Nimatsu	7.8	10.0	5.0	5.2	10.0	(not rated)	1	0
(No Brand) Orina Gagak 01	9.0	8.5	5.0	5.2	10.0	8.9	1	20
(No Brand) Palatinus Custom	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	120
(No Brand) Power Kevlar Carbon	9.3	7.0	7.5	6.7	10.0	9.3	2	50
(No Brand) Radius Carbon	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	32
(No Brand) Rapscallion (Ross Leidy)	9.8	9.0	3.0	7.5	10.0	10.0	2	140
(No Brand) Razer L-2	8.3	8.4	6.0	4.5	10.0	8.4	2	15
(No Brand) Razer L9	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	45
(No Brand) Reach C-1 (Carbon)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	10
(No Brand) REACH E-5	8.0	7.0	3.0	3.7	10.0	(not rated)	1	45
(No Brand) Rosen	10.0	8.0	7.0	8.2	(not rated)	9.8	1	70
(No Brand) Ross Leidy Custom	10.0	10.0	5.0	6.7	10.0	10.0	1	0
(No Brand) Siam Pingpong Handmade	8.5	9.5	5.0	5.2	10.0	9.0	1	0
(No Brand) Sypachevskii	7.0	8.0	7.0	5.2	10.0	9.0	1	65
(No Brand) TImo Boll ZLC	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
(No Brand) Uberpong Blade	5.5	5.0	4.0	4.5	2.5	3.5	2	30
(No Brand) Victas Quartet Speed	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	150
(No Brand) Vodak Diolen Special Custom	8.3	9.0	7.0	3.7	10.0	(not rated)	1	135
(No Brand) XXX Black Mix	8.5	8.0	5.0	6.7	10.0	8.0	2	43
Adidas Accelum High Speed Carbon	7.0	7.0	10.0	10.0	5.0	(not rated)	1	129
Adidas Avenger 5	8.5	8.5	5.0	6.7	10.0	9.0	1	75
Adidas Avenger 7	9.3	7.9	6.5	7.2	10.0	9.3	6	79
Adidas Avenger Carbon	9.0	9.0	5.0	6.7	10.0	9.3	3	99
Adidas C100 OFF	7.6	8.5	2.8	5.0	10.0	8.5	7	60
Adidas C300 OFF	7.8	7.9	4.7	6.2	7.5	8.5	6	100
Adidas C500 OFF+	9.2	8.8	6.4	6.2	7.3	8.9	14	100
Adidas Challenge Force	8.6	9.6	4.3	4.8	10.0	9.4	4	69
Adidas Challenge Light	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Adidas Challenge Speed	9.0	8.7	6.4	6.2	9.4	9.1	18	49
Adidas FiberTec Classic	8.6	9.4	4.0	5.6	10.0	9.6	6	68
Adidas FiberTec Extreme	9.6	8.4	6.4	6.7	10.0	9.4	9	159
Adidas FiberTec Power	9.5	9.2	7.2	8.0	10.0	9.3	6	199
Adidas Hypertouch	9.0	8.9	5.0	4.3	10.0	9.2	8	150
Adidas Protex D20	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	110
Adidas Protex D30	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	150
Adidas Radix Express	9.5	9.5	5.0	4.5	10.0	9.3	7	180
Adidas Radix Impress	8.5	9.0	7.0	6.7	10.0	9.3	1	199
Adidas Radix Ultimate	9.6	9.4	5.0	6.7	10.0	9.9	4	137
Adidas Strike Carbon	9.5	8.7	5.7	7.0	8.3	9.1	7	120
Adidas Strike Wood 5	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	48
Adidas Strike Wood 7	8.5	9.0	5.0	5.2	10.0	9.5	1	48
Adidas Synchro Plus	4.0	4.0	3.0	2.2	0.0	4.0	1	39
Adidas Synchro Unity	7.0	10.0	5.0	5.2	10.0	9.3	1	35
Adidas V1.1 ALL	8.0	8.7	6.2	6.4	10.0	8.8	5	130
Adidas V1.3 OFF-	8.4	8.7	6.0	5.8	10.0	9.5	7	110
Adidas V1.5 OFF-	8.5	8.4	5.9	6.7	8.3	8.4	7	110
Air Touch01 All Wood	7.0	9.0	5.0	6.7	5.0	8.0	1	16
Alpha Rosen	9.0	9.0	7.0	8.2	10.0	9.0	1	80
Alser Allround 5	7.3	8.7	5.0	5.2	10.0	8.4	4	55
American Hinoki Bamboo	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	55
American Hinoki WRC-9mm	9.3	9.3	5.0	3.5	7.5	9.3	3	75
Andro Andro TP Ligna Ci Off	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	130
Andro Blax ALL+	8.5	7.0	5.0	5.7	8.3	7.7	4	45
Andro Blax OFF	9.4	6.5	6.5	5.2	10.0	7.6	4	43
Andro Carbon Compact OFF-	8.2	9.0	6.0	6.0	10.0	9.0	2	0
Andro Core 7 OFF	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	60
Andro Core 7 OFF+	9.8	9.7	6.5	7.1	10.0	9.9	4	45
Andro CS5 ALL+	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	40
Andro CS5 OFF-	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	40
Andro CS7 Pro	7.0	9.0	10.0	6.7	(not rated)	(not rated)	2	59
Andro CS7 Tour	8.9	9.5	7.0	6.7	8.3	9.5	3	59
Andro CS7 Velocity	9.2	7.6	6.5	7.5	5.0	7.7	6	55
Andro CSV ALL+	8.3	9.3	5.0	5.7	7.5	9.2	3	39
Andro CSV Carbon OFF++	9.0	8.9	6.2	6.7	9.0	9.5	6	77
Andro CSV OFF	9.0	9.4	6.0	6.7	10.0	9.4	4	49
Andro CSV OFF+	9.4	9.3	6.2	7.5	10.0	9.6	10	60
Andro CSV OFF-	8.3	9.6	5.5	5.2	8.3	9.5	4	49
Andro Defcon DEF	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	66
Andro Fibercomp DEF	7.4	9.1	5.1	5.7	9.2	9.0	17	46
Andro Flaxonite Cruiser ALL	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	61
Andro Flaxonite Driver OFF	8.9	9.5	5.7	6.7	10.0	9.5	3	61
Andro HiLoom	9.2	8.6	5.0	6.0	7.5	9.0	2	134
Andro J. M. Saive Kinetic OFF	7.5	7.5	6.0	6.7	10.0	8.3	2	45
Andro J. M. Saive Kinetic OFF-	8.0	8.5	5.0	3.7	10.0	9.2	3	45
Andro Kanter ALL+	7.2	8.8	4.0	3.7	10.0	8.5	2	56
Andro Kanter Explorer OFF	9.9	10.0	6.3	7.7	10.0	9.9	3	55
Andro Kanter OFF+	9.4	9.3	6.0	6.3	10.0	9.5	7	45
Andro Kinetic ALL	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	47
Andro Kinetic ALL+	8.3	9.4	6.0	6.0	10.0	9.4	2	43
Andro Kinetic CF Carbo-Aramid OFF	9.0	8.6	6.8	7.9	8.3	9.0	4	100
Andro Kinetic CF Carbon OFF+	9.3	7.8	5.0	8.2	5.0	8.5	4	90
Andro Kinetic CF Carbon OFF-	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	85
Andro Kinetic CF Kevlar-Carbon OFF	8.8	8.0	7.4	8.0	8.6	9.4	7	70
Andro Kinetic CF Light ALL+	7.5	10.0	5.0	6.7	10.0	(not rated)	1	79
Andro Kinetic CF Light OFF	8.8	9.5	5.7	6.7	8.3	8.9	3	79
Andro Kinetic CF Light OFF+	9.4	8.5	6.6	7.0	10.0	9.5	7	79
Andro Kinetic CF Light OFF-	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	65
Andro Kinetic CF Titanium ALL+	8.0	9.0	7.0	6.7	8.3	9.3	4	100
Andro Kinetic Christian Suss Hinoki ALL+	8.2	8.8	5.0	5.7	10.0	8.3	3	47
Andro Kinetic Christian Suss Hinoki OFF	8.4	8.0	5.5	5.2	8.3	8.9	4	47
Andro Kinetic Explorer OFF+	8.7	6.3	5.7	6.2	6.7	6.6	3	45
Andro Kinetic OFF	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	45
Andro Kinetic OFF+	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	45
Andro Kinetic Record ALL+	8.3	9.6	5.0	5.2	10.0	8.5	1	59
Andro Kinetic Record OFF	8.9	9.2	2.5	6.0	10.0	9.4	2	59
Andro Kinetic Record OFF+	9.5	9.0	7.0	6.7	10.0	9.0	1	59
Andro Kinetic Record OFF-	8.0	9.1	4.0	3.7	7.5	9.3	2	59
Andro Kinetic Supreme ALL	7.5	8.3	4.4	5.0	9.4	8.7	9	54
Andro Kinetic Supreme ALL+	8.3	9.2	5.8	6.4	6.3	9.0	5	58
Andro Kinetic Supreme Carbon OFF	9.0	7.7	8.0	8.8	8.3	8.0	3	100
Andro Kinetic Supreme Carbon OFF+	9.3	7.3	8.5	8.4	0.0	7.0	2	86
Andro Kinetic Supreme OFF	8.2	9.0	6.0	5.6	9.0	8.7	7	58
Andro Kinetic Supreme OFF-	8.5	8.8	5.8	6.7	10.0	8.9	13	55
Andro Kinetic Supreme OFF- Kiso Hinoki Zylon	8.7	9.5	5.6	6.7	9.0	9.3	5	135
Andro Kinetic Supreme Zylon/Kiso-Hinoki OFF-	8.2	8.8	6.0	6.7	8.3	9.2	8	135
Andro Ligna ALL+	8.1	9.6	5.0	5.2	10.0	9.2	5	102
Andro Ligna FR OFF	9.6	9.7	6.8	7.6	10.0	9.5	10	150
Andro Ligna OFF	9.3	9.5	6.5	6.9	9.6	9.4	14	150
Andro Ligna OFF+	9.6	9.4	5.8	6.7	10.0	9.6	11	150
Andro Ligna Tour OFF	9.5	9.3	6.7	7.7	10.0	9.4	7	140
Andro Nightmare ALL+	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	30
Andro Nightmare OFF	8.5	8.5	5.0	5.2	10.0	8.8	1	50
Andro Novacell OFF	9.3	10.0	5.0	6.7	10.0	10.0	2	59
Andro Parade DEF	7.0	8.5	3.0	3.7	5.0	8.8	1	69
Andro Performance OFF	10.0	8.0	5.0	6.7	10.0	9.0	1	45
Andro ProLoom	8.8	9.9	4.0	5.2	10.0	9.6	2	134
Andro Super Core ALL	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	58
Andro Super Core ALL+	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	25
Andro Super Core Carbon Light (CL) ALL+	6.8	8.7	4.6	2.8	7.5	8.7	6	60
Andro Super Core Carbon Light (CL) OFF	9.1	8.9	6.6	7.6	9.4	9.1	10	50
Andro Super Core Carbon Light (CL) OFF+	9.5	8.0	8.2	8.3	10.0	9.1	8	60
Andro Super Core Carbon OFF	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	60
Andro Super Core Cell ALL	7.2	9.3	5.0	3.7	10.0	9.4	1	54
Andro Super Core Cell ALL+	7.3	9.0	3.7	4.6	9.2	8.8	7	54
Andro Super Core Cell Carbon OFF	8.3	9.1	6.6	7.6	8.6	9.0	9	87
Andro Super Core Cell OFF	9.1	9.0	5.1	5.6	9.3	9.2	18	65
Andro Super Core Cell OFF+	9.3	8.8	6.3	7.0	9.6	9.2	13	65
Andro Super Core Cell OFF-	7.9	8.1	5.3	6.7	8.0	8.0	8	54
Andro Super Core OFF	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	40
Andro Super Core OFF-	8.1	7.6	6.0	7.5	(not rated)	8.3	2	58
Andro Temper Tech ALL+	8.0	9.6	6.3	6.2	9.4	9.3	41	51
Andro Temper Tech OFF	9.1	9.2	7.1	6.4	8.6	9.3	15	70
Andro Temper Tech OFF+	9.6	9.2	7.3	8.1	9.4	9.6	29	62
Andro Temper Tech OFF-	8.5	9.3	4.9	6.0	9.8	9.1	31	45
Andro TIMBER 5 OFF	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	50
Andro Treiber CI OFF	9.9	9.8	6.0	7.5	10.0	9.8	2	103
Andro Treiber CO OFF	10.0	10.0	6.3	7.7	10.0	10.0	3	103
Andro Treiber FI OFF	9.4	9.8	7.0	6.7	10.0	9.9	2	96
Andro Treiber FO OFF	9.4	9.5	7.0	8.2	10.0	9.7	1	96
Andro Treiber G	9.0	8.1	6.0	6.3	8.8	8.5	4	75
Andro Treiber H	9.0	9.2	5.2	5.5	9.3	9.3	15	88
Andro Treiber K	9.0	9.5	4.9	5.5	9.5	9.5	34	80
Andro Treiber Q	9.1	9.5	5.3	5.3	9.2	9.4	20	70
Andro Treiber Z	9.3	9.5	5.9	6.2	9.2	9.5	55	125
Andro Tronum Aratox OFF+	9.4	9.3	7.0	7.2	10.0	9.3	5	71
Andro Tronum Carbotox OFF	8.7	9.1	7.0	6.2	8.3	9.1	4	71
Andro Wanokiwami AO OFF	9.0	9.7	5.8	6.1	10.0	9.6	13	145
Andro Wanokiwami Midori DEF	8.0	10.0	5.0	6.7	10.0	9.5	1	145
Andro Wanokiwami Ren OFF	10.0	10.0	5.7	7.7	10.0	10.0	3	225
Animus Diana Rosewood	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	100
Animus Iupiter 5	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	100
Animus Iupiter Serie 2	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	71
Animus Mars 7	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	100
Animus TERMINUS SERIES 1 ZLC Off+	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	200
Animus TERMINUS SERIES 1 ZLC | OFF+	9.0	8.5	5.0	7.5	10.0	9.3	2	200
Animus Vantaggio	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	155
Animus Venus 7	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	125
Animus Victoria	6.5	9.0	6.0	7.5	5.0	9.0	2	133
Animus Victoria 2	7.5	8.5	7.0	8.2	5.0	8.5	1	133
Animus Virtus 5	9.0	9.0	3.0	6.7	5.0	9.0	1	95
Animus Vulcanus 5	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	100
Ariex Excellent Hinoki	10.0	9.5	10.0	2.2	(not rated)	10.0	1	180
Ariex Ferocious 765S	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Ariex Hinoki 1-Ply	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	60
Ariex Sprint Carbon	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	70
Ariex Standard Hinoki	8.0	10.0	7.0	2.2	10.0	(not rated)	1	85
Ariex Stormed 568S	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	80
Armstrong Castelian Hinoki 1-ply 701	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	135
Armstrong Castelian Hinoki 1-ply 702	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	135
Armstrong Castelian Hinoki 1-ply 703	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	135
Avalox AVX-V1	7.0	9.0	3.0	6.7	10.0	8.0	1	55
Avalox AVX-V2	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	56
Avalox Blue Thunder 550 (BT550)	7.6	8.7	3.9	5.0	6.7	8.7	16	65
Avalox Blue Thunder 555 (BT555)	8.0	8.4	4.4	5.0	9.3	9.5	8	65
Avalox Blue Thunder 777 (BT777)	9.0	8.5	6.0	6.9	7.8	9.1	12	63
Avalox Edge	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	44
Avalox Edge 7	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	49
Avalox Hado	8.8	9.1	6.5	5.0	9.2	9.1	6	145
Avalox Hinoki-Aramid	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	135
Avalox J-Aramid	9.4	8.9	8.3	8.6	9.4	9.0	10	125
Avalox J-Power	9.2	8.7	6.9	6.6	9.4	9.1	10	90
Avalox J-Tech	8.3	9.5	5.3	3.9	10.0	9.4	7	85
Avalox Ma Wenge C555 Carbon	8.9	8.9	5.0	5.9	10.0	9.2	9	92
Avalox Monoset	10.0	8.0	10.0	10.0	10.0	10.0	1	110
Avalox Nittaku Avalox P777 FL	10.0	10.0	5.0	6.7	10.0	10.0	1	200
Avalox P500	8.3	9.0	4.6	5.5	9.0	9.4	23	65
Avalox P600	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	60
Avalox P700	8.9	9.0	5.7	5.7	9.0	9.6	26	77
Avalox P900	9.1	9.3	5.0	5.2	10.0	9.4	2	100
Avalox Ruiba	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	100
Avalox Speed 90	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	205
Avalox Tosios	9.1	9.0	5.0	6.0	10.0	9.8	2	90
Avalox Triton	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	82
Banda Allround	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	55
Banda Dacota	9.0	9.0	6.0	6.7	10.0	9.2	2	100
Banda Gemini Off-	8.0	8.0	5.0	5.2	(not rated)	8.0	1	66
Banda Pegasus	6.1	8.3	4.5	6.3	5.0	7.3	4	38
Banda Taurus WRB	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	65
BBC 8-9-8	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	115
BBC 9-10-9	8.5	9.6	7.0	4.1	10.0	9.3	4	115
BBC All Around	6.7	9.2	5.7	5.2	5.0	9.3	3	55
BBC Anvil	8.5	8.0	10.0	8.2	(not rated)	8.5	1	115
BBC CarboFlex Alpha	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	105
BBC Excalibur	8.0	8.5	5.0	5.2	10.0	9.0	1	130
BBC Fiddler	8.0	9.0	3.0	5.2	10.0	10.0	1	85
BBC Flash Drive 3.0	8.7	8.0	3.0	6.7	10.0	9.0	1	75
BBC Ghost Hinoki	9.0	8.0	5.0	5.2	10.0	9.0	1	150
BBC NINE	9.2	9.5	5.7	5.7	10.0	9.7	4	175
BBC Quad-Trip	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	9.0	1	135
BBC Ramin	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	85
BBC Ramin Cross	8.5	9.0	3.0	5.2	(not rated)	9.0	1	85
BBC Single-ply Cypress	10.0	9.8	8.0	0.7	10.0	10.0	4	75
BBC Three-ply Cypress	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	85
BBC TriFlex Carbon	10.0	10.0	5.0	6.7	10.0	10.0	3	135
Best of Five Carbon 2000 Allround	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	70
Best of Five Carbon 2000 Defence	4.5	9.5	5.0	5.2	10.0	9.0	2	70
Best of Five Carbon Light Allround	8.4	8.2	7.0	6.7	5.0	8.4	2	63
Best of Five Dynatec Ti	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	63
Best of Five Exact ALL+	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	28
Best of Five Impuls OFF-	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	28
Best of Five Kevlar Light	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	63
Best of Five Twinblade	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	65
Best of Five V3 ALL+	7.0	9.8	3.0	2.2	10.0	9.3	1	50
Best of Five V5 OFF	9.4	8.8	6.0	6.7	5.0	9.1	2	55
BLutenkirsche 1 Ply B3015	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	80
BLutenkirsche B 4007	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	50
BLutenkirsche B-3002	8.5	9.5	3.0	3.7	10.0	9.5	1	15
BLutenkirsche B-3003	8.0	8.0	5.0	3.7	5.0	7.0	1	15
BLutenkirsche B-3004	9.0	8.0	7.0	6.7	10.0	8.0	1	25
BLutenkirsche B-3008	8.0	8.5	5.0	5.2	(not rated)	8.5	1	50
BLutenkirsche B-CARBON	8.5	7.9	7.0	6.7	5.0	6.0	2	12
BLutenkirsche Black Mamba Carbon Offensive	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	35
BLutenkirsche Black Mamba Offensive Super Light	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	30
BLutenkirsche Chinese Offensive	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	29
BLutenkirsche Mamba Strike Special Edition	7.2	9.5	5.0	5.2	10.0	9.0	1	25
BLutenkirsche Mamba Venom Offensive	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	25
BLutenkirsche Power Carbon	10.0	8.0	7.0	3.4	10.0	9.5	2	40
Bomb Everest	10.0	9.7	5.0	4.5	7.5	9.8	3	230
Butterfly Adolescen	8.4	8.8	5.0	5.2	(not rated)	8.1	2	62
Butterfly Aeolus S	9.2	8.0	7.0	8.2	8.3	9.2	6	90
Butterfly All - Supa	8.0	9.0	5.0	5.2	5.0	9.0	1	45
Butterfly All Hinoki 5	8.0	8.5	4.5	4.3	8.8	8.2	5	50
Butterfly All Hinoki 7	8.8	8.2	5.0	4.9	10.0	8.9	5	60
Butterfly AMC 3000	5.0	6.0	5.0	2.2	5.0	6.0	1	29
Butterfly Amultart ZL Carbon	9.6	8.7	6.8	7.7	9.4	9.5	44	230
Butterfly Andrzej Grubba	6.7	8.9	3.7	4.6	8.4	8.7	19	53
Butterfly Andrzej Grubba 15	7.5	8.0	3.0	5.2	10.0	9.0	1	53
Butterfly Andrzej Grubba Carbon	8.1	9.1	7.7	8.2	8.8	9.1	10	60
Butterfly Apolonia ZLC	9.2	10.0	6.5	3.7	10.0	10.0	2	269
Butterfly Arylate	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Butterfly Balsa Carbo X3	8.0	8.7	5.5	5.2	6.3	8.5	4	65
Butterfly Balsa Carbo X5	8.3	8.5	4.6	4.3	8.5	8.9	53	85
Butterfly Balsa OFF	8.5	8.7	4.5	2.8	8.8	8.7	4	69
Butterfly Bastian Steger	7.3	8.9	5.0	5.2	10.0	8.0	4	52
Butterfly Bazelart	7.9	9.1	3.3	4.2	8.3	9.0	3	99
Butterfly Biside	8.0	9.0	3.0	2.2	10.0	9.5	1	100
Butterfly Bolgard	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	90
Butterfly Boll Allround	7.6	8.9	5.0	5.6	7.5	8.5	4	60
Butterfly Boll Allround XXS	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	64
Butterfly Boll Control	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	55
Butterfly Boll Offensive	8.4	8.0	5.0	4.7	6.7	8.4	3	65
Butterfly Boll TriCarbon	9.7	7.1	8.2	9.0	8.3	9.1	38	115
Butterfly Brisker Light	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	55
Butterfly Chiang Peng Lung	9.5	8.5	7.0	5.2	10.0	9.5	1	180
Butterfly Chinese AL	9.0	8.3	7.0	7.2	10.0	10.0	3	95
Butterfly Chinese EX	9.1	8.6	5.0	8.2	10.0	9.1	1	64
Butterfly Chinese Real	7.7	8.1	5.7	6.7	10.0	7.7	3	50
Butterfly Chinese Tamca ULC	8.9	8.2	5.7	7.9	10.0	9.2	7	135
Butterfly Chuan Chih Yuan	7.3	7.8	6.5	6.3	8.3	8.0	4	75
Butterfly Chuan Chih Yuan Gold Medalist Limited Edition	9.0	9.0	7.0	8.2	10.0	9.0	1	250
Butterfly Clarty	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Butterfly Clearfield	8.6	7.2	7.0	7.5	(not rated)	7.7	2	48
Butterfly Cofferlait Arylate Carbon	8.0	8.7	6.2	4.9	10.0	8.7	8	117
Butterfly Coleus	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	1	0
Butterfly Cresail	8.6	9.1	6.0	8.2	10.0	8.5	2	120
Butterfly Cryptate	8.2	8.5	8.5	6.1	10.0	(not rated)	2	65
Butterfly Cutlass	6.3	8.3	6.0	5.2	7.5	8.5	3	50
Butterfly Cypress Alpha	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	100
Butterfly Cypress Alpha-R	8.0	9.0	5.0	2.2	10.0	8.0	1	110
Butterfly Cypress G-Max	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	359
Butterfly Cypress JP I-S	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	226
