Rubber	Speed	Spin	Control	Tacky	Weight	SpongeHardness	Gears	ThrowAngle	Consistency	Durable	Overall	Ratings	Price
Donic Gallardo Sound	7.8	9.3	8.4	5.0	2.0	2.0	7.0	6.0	5.0	5.7	8.4	4	44
Donic Gallardo Speed	8.0	8.3	7.8	2.8	6.0	7.0	8.0	7.0	10.0	6.0	8.3	4	44
Donic J.O. Waldner	8.2	8.8	8.8	3.1	4.2	5.2	9.3	3.2	9.0	8.0	9.4	11	37
Donic JO Waldner Legend	7.2	8.5	8.0	2.0	4.0	3.0	7.0	2.0	(not rated)	(not rated)	(not rated)	1	22
Donic Liga	6.2	6.4	9.0	4.0	3.5	3.6	5.1	3.6	9.2	8.5	7.9	18	27
Donic Liga Plus	8.0	7.0	10.0	2.0	4.0	5.0	10.0	6.0	10.0	(not rated)	9.0	1	35
Donic Quattro	6.8	6.8	8.3	0.7	2.0	4.3	4.0	2.7	5.0	3.7	7.0	3	38
Donic Quattro A'Conda Medium	6.5	6.5	8.5	0.0	4.0	5.0	5.5	5.0	10.0	8.5	8.0	3	36
Donic Quattro A'Conda Soft	6.7	8.7	9.1	2.8	5.3	2.7	8.0	6.3	7.9	5.6	9.3	13	31
Donic Quattro Formula	7.9	8.2	7.8	1.8	3.6	1.2	5.0	6.4	8.1	5.5	8.3	13	46
Donic Slice 40	6.0	8.8	9.0	1.7	2.0	3.5	4.8	3.2	8.5	8.1	8.8	12	44
Donic Slice 40 CD	6.4	7.4	8.0	4.0	4.0	5.0	2.5	1.0	10.0	5.0	5.0	2	43
Donic Solo	7.0	7.5	8.5	2.0	4.0	3.0	7.0	4.0	10.0	7.0	7.9	1	12
Donic Sonex JP	8.5	8.8	8.1	3.0	5.0	4.5	5.5	5.0	6.7	4.5	9.1	4	37
Donic Sonex JP Gold	9.1	8.7	8.0	2.5	4.3	4.3	7.0	3.3	7.6	5.4	9.0	32	35
Donic Sonex JP Soft	8.2	8.1	8.3	0.7	3.3	2.0	5.5	2.7	10.0	4.0	7.8	3	37
Donic Supersonic S40	6.8	7.0	6.7	5.0	7.0	5.0	7.0	8.0	10.0	5.0	9.0	3	27
Donic Traction II	8.5	9.3	9.0	5.0	6.0	7.0	10.0	6.0	10.0	10.0	9.2	1	54
Donic Traction MS Pro	9.3	9.3	8.7	2.4	5.8	6.8	7.0	5.3	7.2	6.9	9.3	10	60
Donic Traction MS Soft	8.9	9.0	8.5	5.0	5.7	1.8	7.6	6.0	9.0	7.8	8.9	8	60
Donic Twingo	6.6	7.5	7.7	3.4	3.2	3.5	6.4	3.5	10.0	7.8	8.1	9	10
Donic Twingo Plus	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	12
Donic Vario	7.6	7.3	8.5	2.2	3.8	5.0	7.0	3.8	9.3	7.1	8.5	9	32
Donic Vario Big Slam	7.8	8.5	8.7	0.0	2.7	0.7	6.5	4.7	6.8	5.6	8.9	17	42
Donic Vario Cooper S	8.6	8.8	7.2	5.7	8.0	8.5	7.0	9.0	10.0	7.3	8.7	3	37
Donic Vario Mach 1	9.0	8.0	7.0	2.0	6.0	7.0	4.0	4.0	10.0	7.0	7.0	1	36
Donic Vario Soft	7.6	7.7	7.9	1.1	3.7	1.3	7.0	2.3	10.0	6.9	7.8	7	31
Donic Vario Soft ST	10.0	10.0	10.0	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	1	39
Donic Vario Sound	9.0	8.0	9.0	2.0	4.0	3.0	4.0	4.0	10.0	5.0	8.0	1	59
Donic Vario ST (Tuned)	7.9	8.8	8.5	0.0	4.0	5.0	10.0	8.0	5.0	5.0	7.6	1	38
Donier Black Spin	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	25
Donier Max Attack	8.2	7.3	8.9	1.9	4.3	5.3	6.3	5.2	10.0	8.4	8.3	7	25
Donier Ultimate Fighting	7.5	8.0	8.5	5.0	2.0	7.0	7.0	6.0	5.0	7.0	8.0	1	26
Double Fish 815	6.5	8.2	8.7	6.6	4.4	4.0	4.6	6.8	5.0	6.4	7.7	5	7
Double Fish 830	7.5	8.2	9.1	6.0	4.0	4.3	6.0	3.3	8.3	5.7	8.5	3	19
Double Fish A One (A1)	7.8	7.3	8.5	2.8	4.0	5.5	2.5	6.0	8.8	5.5	8.0	5	14
Double Fish Athlon 1	8.9	9.0	8.8	8.0	8.0	10.0	1.0	2.0	(not rated)	(not rated)	5.5	1	9
Double Fish Athlon 2	8.9	9.1	9.0	3.5	6.0	6.0	8.5	5.0	10.0	6.0	9.2	2	31
Double Fish FA213	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	9
Double Fish Hunting Shadow A-One	9.0	9.0	9.0	8.0	2.0	5.0	10.0	10.0	10.0	7.0	9.0	1	35
Double Fish Hunting Shadows 213 Rubber	8.8	9.3	9.1	2.0	6.0	5.0	(not rated)	4.0	10.0	7.0	8.8	2	20
Double Fish Hunting Shadows 232 Pro	9.0	9.3	8.7	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	9.0	1	22
Double Fish Hunting Shadows 233 Pro	8.9	9.5	9.0	8.0	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	9.1	1	21
Double Fish Hunting Shadows 8338 Pro	9.2	9.1	9.1	2.0	5.0	4.0	10.0	5.0	10.0	6.0	9.0	2	33
Double Fish Prasidha 815	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Double Fish Prasidha 820B Anti-spin	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Double Fish Prasidha 830	8.3	8.3	8.6	9.3	4.3	6.8	5.8	3.7	7.5	6.8	8.4	6	0
Double Fish QIJI Pro - OSMOSE INVERSE	9.4	9.2	9.3	10.0	2.0	7.0	10.0	8.0	10.0	(not rated)	9.3	1	35
Double Fish Volant	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	15
Double Fish Vortex FC218	8.5	7.5	8.5	5.0	4.0	7.0	1.0	2.0	5.0	3.0	8.2	1	22
DHS 6512	8.5	9.0	9.5	6.0	4.7	5.7	6.0	4.7	6.7	7.3	5.0	3	15
DHS Dipper	8.0	7.5	8.2	1.8	4.8	3.2	7.0	5.2	6.3	5.7	7.4	7	20
DHS Dipper 2	7.8	8.4	7.9	3.5	4.0	4.0	8.5	2.5	(not rated)	5.0	8.0	4	20
DHS Dipper 3	7.0	6.9	8.5	0.0	2.0	0.0	1.0	2.0	5.0	5.0	7.0	2	20
DHS G555	7.0	8.7	8.0	7.7	6.2	6.4	4.3	4.0	5.6	8.2	8.4	17	20
DHS G666	7.7	9.1	8.9	7.7	6.8	6.9	7.3	6.6	7.0	6.6	8.8	33	20
DHS G777	6.6	8.2	7.6	7.4	6.3	5.9	5.0	3.4	5.8	6.3	7.7	9	14
DHS G888	8.1	8.9	8.4	8.2	7.0	7.5	6.8	5.4	8.1	7.6	8.4	38	18
DHS Gold Arc	10.0	10.0	9.5	6.0	5.0	5.0	10.0	6.0	10.0	10.0	9.5	2	40
DHS Gold Arc 3	8.8	9.2	9.3	5.4	5.6	6.5	9.5	5.3	9.0	8.4	9.4	13	39
DHS Gold Arc 5	9.0	9.4	9.5	3.4	4.3	5.2	9.4	5.6	8.6	7.6	9.5	17	25
DHS Gold Arc 8	9.5	9.5	9.2	2.1	5.7	6.7	8.8	5.8	9.5	8.9	9.5	83	48
DHS Hurricane 2 (H2)	8.5	9.3	8.0	8.6	7.7	8.6	6.4	3.5	7.1	7.9	8.8	74	14
DHS Hurricane 2 (No. 19 Sponge)	8.7	9.0	8.7	6.9	5.3	5.3	6.3	5.8	6.4	7.9	8.8	10	18
DHS Hurricane 2 National (Signature)	9.4	9.5	8.9	6.7	5.7	6.5	8.5	2.0	6.7	8.8	9.3	7	42
DHS Hurricane 3 (H3)	8.1	8.9	8.7	8.2	7.1	8.6	7.4	5.6	6.6	7.7	8.6	114	22
DHS Hurricane 3 (H3) Pro (Tuned)	8.7	9.3	8.5	7.6	7.0	7.1	7.4	6.8	6.9	6.4	8.9	10	55
DHS Hurricane 3 (National)	8.1	9.4	8.6	7.9	7.0	7.8	7.9	6.4	6.8	7.4	8.7	18	35
DHS Hurricane 3 (No. 19 Sponge)	7.7	9.2	9.0	8.1	6.5	6.8	7.0	7.5	5.5	7.9	8.6	20	18
DHS Hurricane 3 (Provincial)	8.4	9.3	8.6	8.4	6.6	7.0	9.0	6.6	8.0	8.5	9.0	37	28
DHS Hurricane 3 National (Blue Sponge)	9.3	9.5	9.3	8.2	5.8	7.9	9.8	5.9	9.6	8.2	9.5	40	150
DHS Hurricane 3 National (Orange Sponge)	8.5	9.3	8.6	7.5	6.7	7.3	8.7	7.3	9.2	8.2	9.0	22	65
DHS Hurricane 3 Provincial (No. 22 Blue Sponge)	9.2	9.5	9.3	7.6	6.3	7.6	9.2	6.3	8.8	8.5	9.4	27	65
DHS Hurricane 3-50	8.1	9.0	9.0	8.7	5.7	5.4	8.0	5.1	7.1	6.6	8.8	20	29
DHS Hurricane 3-50 Soft	8.0	8.7	8.6	7.9	4.8	2.6	6.1	4.4	8.3	6.3	8.4	11	40
DHS Hurricane 8	8.5	9.2	9.1	8.1	7.2	7.7	9.0	4.4	8.5	7.6	9.2	51	30
DHS Hurricane 8 Hard	8.7	9.5	8.9	7.8	8.0	8.9	8.3	3.8	7.7	7.0	9.2	17	32
DHS Ma Long	8.3	10.0	10.0	10.0	6.7	9.0	9.0	8.7	10.0	10.0	9.9	3	100
DHS Magician	9.2	10.0	7.8	10.0	6.7	9.0	10.0	8.0	10.0	7.7	9.2	3	22
DHS Memo	8.4	9.4	8.7	6.9	5.2	5.9	8.5	4.7	8.9	6.8	9.0	21	20
DHS Memo 2	8.1	8.8	8.5	2.9	5.4	7.0	4.9	4.9	6.7	6.7	9.0	7	14
DHS Memo 3	7.9	7.9	7.8	4.4	5.8	7.3	6.0	5.3	8.1	6.3	8.2	13	14
DHS NEO Hurricane 2	8.4	9.3	8.3	8.3	7.5	8.6	7.5	3.2	8.0	7.8	8.7	41	22
DHS NEO Hurricane 3	8.5	9.3	8.6	8.1	6.6	8.0	8.7	6.1	7.2	7.6	8.9	233	22
DHS NEO Hurricane 3 National (Blue Sponge)	9.3	9.4	9.0	7.4	6.2	7.4	9.1	6.7	8.5	7.9	9.4	30	145
DHS NEO Hurricane 3 Provincial (Blue Sponge)	8.4	8.7	8.6	8.8	5.6	7.0	7.6	3.6	8.0	7.4	8.9	6	70
DHS NEO Hurricane 3 Provincial (Orange Sponge)	8.7	9.4	9.0	7.6	6.4	7.3	9.2	5.7	8.1	8.2	9.3	42	65
DHS NEO Provincial H3 (Blue Sponge)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	50
DHS NEO Provincial H3 (Orange Sponge)	9.3	9.4	9.1	10.0	6.0	10.0	7.0	4.0	(not rated)	10.0	9.6	1	65
DHS NEO Skyline 2 TG2	8.4	9.2	8.6	8.0	6.0	6.9	8.1	5.0	8.1	7.7	8.9	101	20
DHS NEO Skyline 3 TG3	8.5	9.1	8.7	7.5	6.1	7.4	8.3	5.0	8.0	7.8	9.0	83	17
DHS PF4	6.6	8.4	8.2	6.3	6.4	8.4	6.0	5.4	8.6	6.5	8.2	20	14
DHS PF4 40+	7.2	8.1	8.2	6.9	6.4	7.1	6.2	3.8	6.7	5.6	8.1	11	10
DHS PF4 New	7.8	8.5	6.0	8.0	7.0	10.0	(not rated)	4.0	5.0	5.0	6.0	2	11
DHS PF4-1	7.3	7.7	8.0	6.0	6.4	6.4	5.2	4.4	10.0	8.4	7.9	6	20
DHS Skyline 3-60 Hard	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	30
DHS Skyline 3-60 Mid Hard	8.5	8.9	9.2	6.2	4.6	6.3	9.2	5.4	9.1	8.1	9.1	22	30
DHS Skyline 3-60 Soft	8.2	8.7	8.5	6.9	4.3	1.8	7.6	4.7	8.3	6.8	8.8	8	24
DHS Skyline TG2	7.5	8.6	8.5	7.2	6.2	7.6	6.8	4.6	6.5	7.7	8.0	22	17
DHS Skyline TG2 (No. 19 Sponge)	7.9	8.4	8.0	7.2	7.3	7.1	8.1	7.3	6.7	8.0	8.2	11	15
DHS Skyline TG3	8.5	9.0	8.6	8.2	6.6	8.4	7.1	4.7	8.0	7.9	8.9	52	20
DHS Skyline TG3 (No. 21 Blue Sponge)	8.8	9.4	8.8	6.9	4.5	6.2	8.4	6.0	7.2	8.7	9.0	14	18
DHS Tin Arc	8.3	8.5	8.5	2.5	5.8	6.4	7.6	4.8	8.8	7.9	8.8	22	38
DHS Tin Arc 3	8.6	8.9	9.0	4.2	6.2	5.8	7.5	5.5	9.1	7.5	8.8	52	32
DHS Tin Arc 3 Soft	9.5	10.0	10.0	2.0	4.0	3.0	10.0	4.0	10.0	10.0	10.0	1	43
DHS Tin Arc 5	8.6	8.8	9.0	4.7	6.0	6.6	7.0	4.9	9.3	6.7	9.0	17	40
DHS Tin Arc 5 Soft	8.8	9.2	9.1	2.0	4.0	3.0	(not rated)	(not rated)	5.0	5.0	9.1	1	35
DHS TNT	7.6	7.3	8.3	3.0	4.0	5.6	4.0	4.0	6.7	6.4	7.9	9	20
Dr. Neubauer A-B-S-2	6.0	3.0	9.0	0.0	2.0	(not rated)	10.0	(not rated)	10.0	(not rated)	9.0	1	47
Dr. Neubauer ABS Anti	6.4	4.7	8.0	3.0	9.3	7.8	7.0	6.8	7.5	7.5	8.7	6	65
Dr. Neubauer Anti Special	4.8	4.3	5.8	2.5	6.0	8.3	5.0	6.0	5.0	10.0	5.3	4	48
Dr. Neubauer Bison	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	51
Dr. Neubauer Bison Plus	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	49
Dr. Neubauer Buffalo	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	55
Dr. Neubauer Buffalo Plus	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	49
Dr. Neubauer Django	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	45
Dr. Neubauer Domination	8.1	9.1	9.3	4.3	5.3	6.8	8.5	6.0	10.0	8.0	9.0	5	51
Dr. Neubauer Domination Speed 2	9.7	9.5	9.6	8.0	5.0	3.0	10.0	6.0	10.0	10.0	9.5	2	40
Dr. Neubauer Domination Speed Soft	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	40
Dr. Neubauer Goliath Speed II	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	45
Dr. Neubauer Gorilla	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	39
Dr. Neubauer Grizzly Anti (ABS sponge)	5.5	4.0	8.5	0.0	4.0	7.0	1.0	(not rated)	(not rated)	7.0	9.0	1	60
Dr. Neubauer Leopard	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Dr. Neubauer Power Attack	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	50
Dr. Neubauer Rhino	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	49
Dr. Neubauer Rhino Plus	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	49
Dr. Neubauer Special Defence	7.0	9.0	9.0	2.0	6.0	2.5	2.5	4.0	10.0	5.0	8.0	2	50
Dr. Neubauer Tarantula	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	58
Eastfield A Soft	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	20
Friendship/729 40H	7.5	7.8	4.0	9.0	5.0	8.5	1.0	0.0	5.0	7.0	5.0	3	14
Friendship/729 40S	7.4	7.4	8.7	7.0	5.7	5.6	5.0	5.7	6.3	6.3	7.9	8	14
Friendship/729 729	8.1	9.2	8.3	6.6	6.2	6.7	5.5	6.0	6.1	6.8	8.7	19	10
Friendship/729 729 OEM	8.3	8.3	9.1	5.8	3.2	5.0	6.0	4.2	8.1	6.8	8.8	12	5
Friendship/729 729 SST (HaoShuai)	8.1	8.7	8.0	8.0	7.0	8.5	10.0	4.0	10.0	10.0	8.3	2	14
Friendship/729 729 Transcend	8.3	8.9	8.4	7.5	5.7	5.9	6.6	3.5	9.2	6.2	8.5	8	14
Friendship/729 729-08	8.5	9.2	8.8	7.4	6.3	8.5	7.5	5.0	8.5	7.2	9.0	28	13
Friendship/729 729-08 ES	8.3	8.6	8.7	4.9	5.1	5.8	7.5	5.7	9.3	7.2	8.8	21	22
Friendship/729 729-08 Pro	8.4	8.9	8.7	8.0	8.0	7.0	10.0	4.0	10.0	10.0	9.0	2	39
Friendship/729 729-08 Provincial Tuned	8.7	9.1	9.0	7.7	7.7	9.0	8.5	7.0	7.5	8.3	9.1	7	38
Friendship/729 729-2 Sensor	8.6	8.4	8.6	3.4	5.8	6.7	7.6	5.3	8.1	7.8	8.6	28	14
Friendship/729 729-2 Transcend	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	17
Friendship/729 729-3 Japan OEM 2.10mm	8.5	8.5	8.0	2.0	2.0	3.0	(not rated)	(not rated)	(not rated)	(not rated)	9.0	1	7
Friendship/729 729-3 Transcend	8.1	9.3	8.8	6.6	7.0	6.2	8.5	7.0	7.5	6.0	9.1	7	14
Friendship/729 729-5	8.8	8.7	8.9	3.5	4.5	6.0	6.3	5.3	8.8	7.8	8.8	56	14
Friendship/729 802-40 Mystery 3	8.1	5.0	8.5	2.0	2.0	0.0	4.0	2.0	5.0	(not rated)	7.3	2	14
Friendship/729 804 (Anti-spin)	4.9	3.6	8.6	0.2	3.6	3.1	2.3	1.4	7.9	7.8	7.7	21	10
Friendship/729 Aurora	9.1	9.0	8.9	1.4	3.8	3.2	7.9	4.2	8.7	6.8	8.6	24	18
Friendship/729 Battle I	8.8	8.5	8.3	0.8	5.0	5.0	6.6	7.0	7.5	5.0	9.0	8	19
Friendship/729 Battle II	8.7	9.2	9.0	9.4	5.6	8.0	8.6	6.2	8.6	7.9	9.2	29	30
Friendship/729 Battle II  Provincial Blue Sponge	9.0	8.0	8.0	8.0	8.0	7.0	10.0	8.0	10.0	7.0	8.5	1	38
Friendship/729 Battle II Provincial (Battle 2 Provincial)	8.8	9.4	9.5	8.0	3.3	8.0	10.0	6.0	7.5	10.0	9.6	3	37
Friendship/729 Bloom Arc	9.2	9.1	8.8	8.0	6.0	7.0	4.0	4.0	10.0	10.0	10.0	1	20
Friendship/729 Bloom Power	9.2	9.2	8.7	8.9	6.9	7.6	7.5	2.6	8.3	9.2	9.4	7	15
Friendship/729 Bloom Speed	8.5	8.9	8.6	7.3	5.0	6.5	7.8	5.0	8.8	10.0	8.6	4	15
Friendship/729 Bloom Spin	8.5	9.1	9.2	5.0	6.0	6.0	7.0	6.0	(not rated)	(not rated)	9.2	2	15
Friendship/729 Cream on Magic Red Sponge (MRS)	7.4	8.5	8.5	5.3	5.1	5.5	6.5	2.5	7.5	8.5	8.3	9	14
Friendship/729 Cream Transcend	7.9	8.1	8.5	5.0	4.7	5.4	6.7	4.0	7.9	7.3	8.3	58	14
Friendship/729 Cross Blue Sponge	7.9	8.5	9.5	8.0	5.0	6.0	5.5	6.0	7.5	8.5	8.9	2	15
Friendship/729 Cross Universal Pips-In	8.0	8.0	8.0	5.0	4.0	7.0	7.0	4.0	(not rated)	(not rated)	8.0	1	10
Friendship/729 Faster (Fenghun)	8.8	8.8	8.7	7.4	5.5	6.5	7.3	6.1	9.2	7.5	8.6	22	14
Friendship/729 Faster 2 (Fenghun 2)	8.5	8.5	8.3	6.0	6.0	8.5	2.5	5.0	10.0	10.0	7.0	2	14
Friendship/729 Faster 3 (Fenghun 3)	8.9	8.8	8.8	6.2	4.9	4.8	6.6	5.6	7.5	7.9	8.9	17	14
Friendship/729 Faster ESN (Fenghun ESN)	8.8	9.0	7.6	6.3	8.0	7.0	5.5	4.4	7.5	6.8	8.6	7	14
Friendship/729 Focus 1	6.9	8.5	8.9	4.9	5.7	4.7	6.2	5.3	9.4	7.7	8.2	17	14
Friendship/729 Focus 2	8.8	8.7	9.0	4.9	5.0	6.3	7.4	4.3	10.0	7.6	9.0	9	14
Friendship/729 Focus 3	7.2	7.8	8.0	1.8	4.1	1.6	4.4	4.0	8.6	6.1	8.0	15	14
Friendship/729 Focus 3 Pre Energy Aggregation	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	12
Friendship/729 Focus 3 Snipe	8.6	8.3	8.9	1.6	2.1	3.0	7.3	4.1	8.4	6.8	8.8	126	15
Friendship/729 Focus3 Plus	8.0	9.0	8.0	2.0	4.0	5.0	4.0	2.0	5.0	(not rated)	8.0	1	13
Friendship/729 Friendship Cross	7.4	7.5	8.9	4.0	5.5	6.0	4.0	4.7	8.8	6.5	7.2	4	14
Friendship/729 FX EL Super Soft	6.5	8.0	8.7	5.1	3.1	2.6	4.8	3.8	8.5	7.1	7.5	39	14
Friendship/729 FX Lightening (Lightning)	7.3	8.0	8.6	5.4	2.9	4.2	4.9	3.8	7.0	6.0	8.1	14	10
Friendship/729 FX-C	7.1	8.8	10.0	8.7	5.3	6.7	7.0	4.0	8.3	10.0	9.1	4	10
Friendship/729 General (Cross sponge)	7.3	7.9	8.8	5.9	4.4	6.9	5.5	3.9	7.9	8.2	8.0	23	6
Friendship/729 Geospin	7.0	8.4	8.3	4.0	4.0	4.7	5.2	5.0	6.7	5.8	8.4	6	14
Friendship/729 GeoSpin Tacky	7.1	9.2	8.4	6.8	4.0	5.3	4.5	5.0	8.4	6.5	8.5	31	14
Friendship/729 God-Favored (SP)	7.8	8.9	9.3	8.0	8.0	10.0	10.0	4.0	7.5	7.5	9.3	3	14
Friendship/729 God-Favored (SST)	8.7	8.7	8.1	5.8	7.2	8.3	6.3	4.8	6.7	6.3	8.2	6	14
Friendship/729 HERO Cream	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	14
Friendship/729 Higher	8.2	9.0	8.5	6.9	5.6	5.8	5.9	5.2	7.7	7.9	8.7	43	14
Friendship/729 Higher 2	8.0	8.7	7.8	4.6	5.5	6.4	4.6	5.6	6.7	5.0	7.6	5	14
Friendship/729 Higher 3	8.1	8.7	8.4	5.5	4.9	5.7	6.2	5.8	8.9	6.0	8.6	12	14
Friendship/729 Highpoint	8.9	8.6	9.0	2.0	5.0	4.2	6.5	1.7	8.0	5.0	8.7	8	25
Friendship/729 New Cream	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	1	16
Friendship/729 Origin	7.5	8.9	8.7	6.9	4.9	6.7	6.5	4.0	8.8	6.5	9.0	7	14
Friendship/729 Origin Premium	7.0	9.5	9.0	8.0	6.0	5.0	(not rated)	6.0	10.0	10.0	9.0	1	18
Friendship/729 Presto Speed	8.6	8.8	9.1	2.0	4.0	7.0	10.0	6.0	10.0	7.0	9.2	1	27
Friendship/729 Presto Spin	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	25
Friendship/729 RITC 2000 Tack Speed	8.3	8.9	8.6	6.0	4.5	5.0	6.2	6.0	8.4	7.3	8.8	26	14
Friendship/729 RITC 2000 Tack Speed MRS	8.0	9.0	8.5	5.0	8.0	10.0	7.0	8.0	10.0	7.0	9.5	2	14
Friendship/729 Sky Wing	7.3	8.3	8.7	5.4	2.3	2.3	5.4	4.9	10.0	5.9	8.6	14	14
Friendship/729 SP Transcend	7.9	8.9	8.4	7.8	5.5	6.8	6.1	6.2	6.3	7.3	8.3	22	14
Friendship/729 SST Cross	7.3	7.3	7.5	5.3	5.7	9.0	8.5	4.3	10.0	7.2	7.3	9	10
Friendship/729 SST Pro Team	8.6	9.2	8.1	7.0	6.0	9.0	10.0	5.3	10.0	7.3	8.9	4	14
Friendship/729 Super FX	7.2	8.4	8.6	7.0	5.2	6.5	5.8	3.8	8.3	7.5	8.2	80	15
Friendship/729 Super FX Blue Sponge	7.4	8.6	9.2	6.5	5.8	6.9	5.4	3.8	9.6	8.3	8.6	15	13
Friendship/729 Super FX GuoYuehua (Blue Sponge) 729-020	8.5	9.5	9.8	6.5	5.0	7.0	8.5	5.0	10.0	10.0	9.8	2	19
Friendship/729 Super T	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	1	4
Friendship/729 Top Point	8.5	8.7	8.4	6.5	6.0	7.0	4.0	4.0	10.0	8.5	8.2	2	38
Friendship/729 Xi EnTing	8.0	8.7	8.5	5.0	4.2	5.3	5.3	4.0	8.0	7.1	8.3	10	14
Friendship/729 Yudo (Judo)	8.0	8.8	7.4	6.3	5.5	7.0	6.0	7.0	5.0	4.3	8.7	5	14
Galaxy 9000 3 Star	9.2	9.2	9.1	6.8	4.3	5.3	6.3	5.5	8.6	6.8	9.2	19	10
Galaxy 9000 Series 2	8.5	8.8	8.8	3.5	5.3	8.3	5.5	5.3	6.7	5.7	8.1	3	11
Galaxy 9000D	6.9	8.9	8.7	8.4	4.0	5.0	4.6	2.8	9.0	7.6	8.3	5	7
Galaxy 9000E	7.5	9.0	7.5	6.0	6.0	5.0	5.5	7.0	(not rated)	5.0	7.9	4	7
Galaxy Apollo	8.1	9.0	8.4	7.6	6.1	5.9	7.2	6.4	6.0	5.4	8.6	21	20
Galaxy Apollo 5	9.6	9.9	9.1	8.0	6.5	6.0	10.0	5.0	8.3	9.0	9.8	4	21
Galaxy Apollo II	8.5	8.8	8.9	2.8	4.5	4.6	7.8	5.0	5.0	6.5	8.8	6	17
Galaxy Apollo III	8.1	9.1	8.7	8.4	7.0	6.0	6.5	6.3	7.0	6.2	8.2	8	19
Galaxy Big Dipper	8.6	8.8	8.3	5.1	6.8	7.3	8.4	6.5	8.4	7.3	8.7	28	19
Galaxy Earth	7.4	9.0	8.9	7.7	6.0	5.2	5.0	5.7	8.0	7.0	8.4	6	10
