종목	코드	현재가	시가총액	PER	E_PER	PBR	ROE	배당수익률
오뚜기	007310	566000	20442	17.69	16.00	1.48	9.85	1.32
쌍용양회	003410	5040	25,798	18.82	18.00	1.47	8.21	8.20
광전자	017900	1920	1,115	27.50		0.45	1.56	2.60
빙그레	005180	66600	6,561	15.79		1.05	7.01	2.18
화승알앤에이	013520	1510	991	5.58		0.38	9.62	1.63
화승인더	006060	8540	4,730	9.21		0.96	19.46	0.53
호텔신라	008770	79300	31,752	73.15	-60.00	3.66	-6.11	0.43
CJ	001040	91000	26,288	8.66	11.00	0.63	6.00	2.05
유유제약	000220	12300	777	16.62		0.98	5.41	1.72
서한	011370	988	1,019	10.31		0.34	3.28	2.97
대호피앤씨	021040	747	583	88.67		0.85	0.96	
한국내화	010040	3660	835	46.20		0.59	3.18	0.96
오리엔트바이오	002630	730	735			1.35	-33.20	
한양증권	001750	6750	873	4.10		0.31	7.85	5.10
큐로	015590	1110	1,737	19.55		1.57		
남성	004270	2475	916			0.92	-2.52	0.99
푸른저축은행	007330	7760	1,170	4.76		0.36	9.59	7.09
E1	017940	36800	2,552			0.22	-3.63	5.91
동성화학	005190	17350	918	6.90		0.77	11.92	3.49
사조오양	006090	8270	774	5.00		0.45	8.18	1.22
우리종금	010050	562	3,802	7.14		1.03	15.63	
디와이	013570	4260	1,123	8.35		0.30	4.73	3.52
행남사	008800	1770	808			2.64	-81.00	
한탑	002680	1855	415			1.11	-29.20	
서원	021050	3155	1,505	33.02		1.39	3.06	0.31
현대약품	004310	4940	1,642	190.00		1.62	1.19	0.88
코콤	015710	6250	1,085	13.20		0.87	7.12	2.59
JW중외제약	001060	33700	6,893			3.30	-10.31	0.96
일동홀딩스	000230	8960	1,039			0.77	-14.91	1.06
신화실업	001770	23750	292	30.26		0.85	2.83	0.42
부산산업	011390	137500	1,473	41.28		2.64	7.20	0.18
유화증권	003460	2270	1,287	27.02		0.30	1.36	5.29
디티알오토모티브	007340	25300	2,518	3.66		0.36	11.50	5.95
한국카본	017960	7770	3,433	19.38	10.00	1.02	10.77	1.54
동일제강	002690	1935	328	29.59		0.25	0.85	0.46
계룡건설	013580	16050	1,487	2.08		0.33	16.94	3.60
녹십자홀딩스	005250	22500	10675	378.33		1.27	0.37	1.43
삼아알미늄	006110	3990	450	9.02		0.41	4.62	2.69
OCI	010060	41200	10255		-13.00	0.39	-3.09	
에이티넘인베스트	021080	1690	818	12.09		1.03	8.70	2.93
성우하이텍	015750	3020	2,452	6.24		0.23	3.69	2.61
세방	004360	10300	1,969	42.50		0.28	0.68	1.72
대동기어	008830	2580	230			0.40	-0.96	0.98
한국테크놀로지그룹	000240	10050	9,488	6.27	8.00	0.29	3.75	3.43
대한방직	001070	20500	1,105			0.59	-10.27	
알루코	001780	1990	1,520			0.72	-3.55	
갤럭시아에스엠	011420	1310	365			1.68	-5.70	
