종목명	현재가	전일비	등락률	액면가	시가총액	배당금	PER	ROE	PBR	유보율	배당율
HDC	9,520	20	+0.21%	5,000	5,687	200	2.22	12.58	0.25	1,351.3	0.02100840336134454
삼화콘덴서	54,400	700	+1.30%	1,000	5,655	250	24.84	21.24	3.61	1,312.7	0.004595588235294118
제일약품	37,850	350	-0.92%	500	5,566	70	-78.20	-5.96	3.20	2,101.2	0.0018494055482166448
SK디스커버리	28,850	500	+1.76%	5,000	5,492	700	2.45	11.52	0.34	2,400.5	0.024263431542461005
미래에셋생명	3,100	50	+1.64%	5,000	5,488	170	5.61	4.98	0.21	139.7	0.054838709677419356
유안타증권	2,735	70	+2.63%	5,000	5,459	N/A	7.18	6.60	0.44	24.2	
한세실업	13,500	200	+1.50%	500	5,400	500	-28.66	-0.06	1.44	2,027.2	0.037037037037037035
KOSEF 200	27,420	470	+1.74%	0	5,251	N/A	N/A	N/A	N/A	N/A	
롯데손해보험	1,690	25	+1.50%	1,000	5,245	N/A	-5.63	-6.69	0.54	211.6	
대신증권	10,100	200	+2.02%	5,000	5,128	1,000	9.26	4.79	0.35	415.0	0.09900990099009901
경동나비엔	39,900	1,300	+3.37%	1,000	5,083	300	14.98	9.59	1.64	2,255.6	0.007518796992481203
CJ CGV	23,950	800	+3.46%	500	5,068	0	-2.10	-57.60	3.08	994.3	0.0
한일현대시멘트	29,950	250	+0.84%	5,000	5,038	1,000	12.18	21.69	2.46	145.7	0.0333889816360601
제주항공	19,000	0	0.00%	5,000	5,008	0	-2.83	-9.36	2.23	148.4	0.0
현대에이치씨엔	4,435	15	-0.34%	500	5,006	60	13.24	5.19	0.66	1,282.0	0.013528748590755355
제이콘텐트리	30,350	550	+1.85%	5,000	4,973	N/A	-25.42	0.34	1.59	330.3	
삼양홀딩스	57,900	100	+0.17%	5,000	4,959	2,000	14.66	2.18	0.32	3,077.4	0.03454231433506045
한진중공업	5,950	130	+2.23%	5,000	4,955	N/A	6.43	-132.20	2.07	-55.7	
동양생명	3,040	105	+3.58%	5,000	4,905	230	4.26	4.73	0.18	229.9	0.0756578947368421
SK디앤디	25,650	300	-1.16%	1,000	4,871	600	7.59	12.66	1.36	1,766.7	0.023391812865497075
에이프로젠 KIC	3,110	65	+2.13%	500	4,850	0	111.07	4.70	1.67	330.6	0.0
화승인더	8,670	210	+2.48%	500	4,796	45	9.34	19.66	0.98	953.5	0.005190311418685121
에이프로젠제약	1,975	75	+3.95%	500	4,773	0	658.33	-4.19	1.90	102.5	0.0
삼성 코스피 양매도 5% OTM ETN	9,525	0	0.00%	0	4,762	N/A	N/A	N/A	N/A	N/A	
한국토지신탁	1,880	25	+1.35%	1,000	4,747	80	4.39	12.72	0.51	260.2	0.0425531914893617
한미반도체	9,210	20	-0.22%	200	4,743	100	19.72	8.85	2.07	2,019.2	0.010857763300760043
이월드	4,565	20	+0.44%	1,000	4,708	0	134.26	4.67	1.69	61.2	0.0
미래에셋대우2우B	3,350	95	+2.92%	5,000	4,690	N/A	4.13	N/A	0.26	N/A	
KODEX 코스닥 150	11,340	455	+4.18%	0	4,689	N/A	N/A	N/A	N/A	N/A	
필룩스	5,090	180	+3.67%	500	4,583	0	-30.30	-5.29	1.52	538.4	0.0
지역난방공사	39,500	350	+0.89%	5,000	4,574	N/A	-17.88	-1.66	0.30	2,547.2	
덴티움	41,250	400	+0.98%	500	4,566	N/A	51.05	7.37	1.68	3,579.4	
삼양사	44,100	1,000	+2.32%	5,000	4,548	1,000	13.90	3.07	0.40	2,066.8	0.022675736961451247
KODEX 코스피	20,700	280	+1.37%	0	4,533	N/A	N/A	N/A	N/A	N/A	
KODEX 코스닥150선물인버스	6,300	295	-4.47%	0	4,492	N/A	N/A	N/A	N/A	N/A	
대덕전자	9,030	230	-2.48%	500	4,462	N/A	N/A	N/A	N/A	N/A	
디피씨	10,650	100	+0.95%	500	4,439	80	28.71	7.12	2.50	698.0	0.007511737089201878
BGF	4,590	105	+2.34%	1,000	4,393	110	20.86	1.79	0.30	1,495.9	0.023965141612200435
대한해운	17,600	300	+1.73%	5,000	4,299	N/A	4.08	11.47	0.46	357.5	
롯데푸드	375,500	14,500	+4.02%	5,000	4,250	12,000	11.33	5.40	0.48	17,366.6	0.03195739014647137
신영증권	45,250	600	+1.34%	5,000	4,247	2,750	8.50	6.53	0.33	1,483.9	0.06077348066298342
드림텍	6,780	270	+4.15%	100	4,207	160	16.14	13.24	1.85	3,637.6	0.02359882005899705
한국콜마홀딩스	23,200	700	+3.11%	500	4,162	195	10.14	10.51	0.99	4,823.9	0.008405172413793103
삼성화재우	130,000	1,500	+1.17%	500	4,150	N/A	10.22	N/A	0.39	N/A	
케이씨텍	20,850	500	+2.46%	500	4,136	200	10.64	13.52	1.41	2,809.3	0.009592326139088728
KODEX Top5PlusTR	12,210	175	+1.45%	0	4,103	N/A	N/A	N/A	N/A	N/A	
세방전지	29,300	600	+2.09%	500	4,102	500	5.72	7.70	0.37	15,105.3	0.017064846416382253
동국제강	4,285	20	+0.47%	5,000	4,089	N/A	-2.12	-3.63	0.21	85.2	
TIGER 단기채권액티브	50,365	10	+0.02%	0	4,060	N/A	N/A	N/A	N/A	N/A	
LF	13,700	150	+1.11%	5,000	4,006	500	5.92	5.65	0.33	751.8	0.0364963503649635
하이트진로홀딩스	17,200	900	+5.52%	5,000	3,992	350	1,075.00	-4.65	0.85	920.5	0.020348837209302327
일진다이아	27,950	550	+2.01%	1,000	3,970	300	30.51	8.06	2.22	1,307.3	0.01073345259391771
부산가스	36,000	350	-0.96%	5,000	3,960	1,000	8.64	7.57	0.52	1,151.3	0.027777777777777776
KOSEF 200TR	31,680	520	+1.67%	0	3,960	N/A	N/A	N/A	N/A	N/A	
대교	4,675	120	+2.63%	500	3,960	170	-212.50	2.76	0.69	1,240.9	0.03636363636363636
맵스리얼티1	4,265	15	+0.35%	0	3,959	N/A	N/A	N/A	N/A	N/A	
스카이라이프	8,260	220	+2.74%	2,500	3,950	350	6.74	8.02	0.56	490.5	0.0423728813559322
남해화학	7,930	80	+1.02%	1,000	3,940	60	19.39	3.74	0.87	788.9	0.007566204287515763
미원에스씨	77,000	200	+0.26%	500	3,927	1,700	9.76	N/A	1.57	9,530.4	0.02207792207792208
현대건설기계	19,800	400	+2.06%	5,000	3,901	N/A	-11.53	0.26	0.31	1,098.0	
광동제약	7,430	220	+3.05%	1,000	3,895	80	15.81	5.57	0.69	805.0	0.010767160161507403
삼진제약	27,950	250	+0.90%	1,000	3,885	800	46.82	5.69	1.75	1,489.2	0.028622540250447227
아이마켓코리아	10,700	0	0.00%	500	3,846	600	23.62	4.31	0.99	2,160.6	0.056074766355140186
우리종금	568	4	+0.71%	500	3,829	N/A	7.19	15.63	1.04	9.0	
KODEX 선진국MSCI World	14,455	105	-0.72%	0	3,816	N/A	N/A	N/A	N/A	N/A	
한화투자증권	1,775	55	+3.20%	5,000	3,808	0	3.51	9.36	0.34	6.2	0.0
KINDEX 단기통안채	100,665	5	0.00%	0	3,808	N/A	N/A	N/A	N/A	N/A	
서울가스	75,600	1,200	+1.61%	5,000	3,780	1,750	12.95	3.06	0.30	2,795.7	0.023148148148148147
LG전자우	21,950	450	+2.09%	5,000	3,772	N/A	8.17	N/A	0.26	N/A	
한국단자	36,150	900	+2.55%	500	3,765	700	10.16	4.55	0.53	13,584.3	0.019363762102351315
이리츠코크렙	5,930	50	+0.85%	500	3,756	N/A	28.51	2.48	1.46	734.8	
효성첨단소재	83,800	600	+0.72%	5,000	3,754	N/A	-4.31	-19.74	1.08	1,265.0	
경방	13,650	350	-2.50%	500	3,742	125	10.14	6.02	0.49	5,414.5	0.009157509157509158
유니드	42,000	50	-0.12%	5,000	3,734	1,200	5.47	9.87	0.51	1,604.0	0.02857142857142857
한국카본	8,460	290	+3.55%	500	3,719	120	13.98	5.74	1.09	1,421.0	0.014184397163120567
SK렌터카	10,300	150	+1.48%	500	3,684	N/A	12.72	5.51	1.00	2,445.0	
하나제약	22,700	450	+2.02%	500	3,677	460	13.56	13.30	1.63	2,727.7	0.02026431718061674
농심홀딩스	78,400	2,100	+2.75%	5,000	3,636	2,000	8.16	4.03	0.39	3,888.3	0.025510204081632654
JW홀딩스	5,470	170	+3.21%	500	3,635	87	-13.24	-20.18	2.60	382.7	0.01590493601462523
효성화학	113,000	500	+0.44%	5,000	3,605	5,000	4.78	21.37	0.79	2,677.9	0.04424778761061947
